"sku","name","description","manufacturer","manufacturer_part_number","family_series","brand_logo_url","price","lead_time","is_discontinued","is_repairable","voltage","output_type","sensing_type","protection_rating","categories_separated","url","image_url","net_weight","gross_weight","ship_length","ship_width","ship_height","category_level_2","accessory_type"
"301288B-PILZ","301288B","Basic License for PSS WIN-PRO Full, End User Name, Addy, Contact Name & e-mail Required @ Time of Sale","PILZ","301288B","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","5912.52","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/301288b-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/301288b-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"301288K-PILZ","301288K","User License for PSS WIN-PRO Full","PILZ","301288K","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","2058.57","8","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/301288k-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/301288k-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"301288U-PILZ","301288U","Basic Upgr License for PSS WIN-PRO Full","PILZ","301288U","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","2212.09","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/301288u-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/301288u-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"301289B-PILZ","301289B","Basic License for PSS WIN-PRO Service","PILZ","301289B","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","2077.51","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/301289b-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/301289b-pilz.jpg","0.2205","0.2205","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"301289U-PILZ","301289U","Basic Upgr License for PSS WIN-PRO Serv","PILZ","301289U","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","821.43","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/301289u-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/301289u-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"301651-PRLF","301651","FB-Modules","Pepperl Fuchs","FB2203ER","Pepperl Fuchs Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/prlf/logo_s.jpg","0","null","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/301651-pepperl-fuchs.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/301651-pepperl-fuchs.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pepperl Fuchs Programmable Logic Controllers"
"304978-PRLF","304978","K-System Binary","Pepperl Fuchs","KCD0-SD3-EX1.1245","Pepperl Fuchs Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/prlf/logo_s.jpg","0","null","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/304978-pepperl-fuchs.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/304978-pepperl-fuchs.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pepperl Fuchs Programmable Logic Controllers"
"304983-PRLF","304983","K-System Binary","Pepperl Fuchs","KCD0-SD3-EX1.1045","Pepperl Fuchs Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/prlf/logo_s.jpg","0","null","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/304983-pepperl-fuchs.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/304983-pepperl-fuchs.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pepperl Fuchs Programmable Logic Controllers"
"311713-PRLF","311713","K-System Miscellaneous","Pepperl Fuchs","K-250R","Pepperl Fuchs Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/prlf/logo_s.jpg","0","null","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/311713-pepperl-fuchs.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/311713-pepperl-fuchs.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pepperl Fuchs Programmable Logic Controllers"
"312087-PILZ","312087","PSSu H FS2 SN SD","PILZ","312087","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","1194.27","160","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312087-52480.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312087-pilz.jpg","0.88","0.88","5.05","5.95","3.5","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312185-PILZ","312185","PSSu E F PS-P","PILZ","312185","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","90.72","1","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312185-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312185-pilz.jpg","0.07","0.09","2.25","2.95","0.6","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312192-PILZ","312192","PSSu E F PS2","PILZ","312192","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","190.4","5","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312192-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312192-pilz.jpg","0","0","0","0","0","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312195-PILZ","312195","PSSu E PD","PILZ","312195","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","35.89","11","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312195-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312195-pilz.jpg","0.0617","0.0816","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312197-PILZ","312197","PSSu E S PD-D","PILZ","312197","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","85.73","15","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312197-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312197-pilz.jpg","0.075","0.0926","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312215-PILZ","312215","PSSu E F 2DO 2","PILZ","312215","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","218","5","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312215-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312215-pilz.jpg","0.0794","0.097","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312220-PILZ","312220","PSSu E F DI OZ 2","PILZ","312220","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","187","5","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312220-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312220-pilz.jpg","0.0794","0.097","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312225-PILZ","312225","PSSu E F 2DOR 8","PILZ","312225","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","355","2","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312225-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312225-pilz.jpg","0.1984","0.2183","2.37","1","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
